	CellID	Convolved	Deconvolution algorithm	NRMSE	Name	PSF aspect ratio	PSF sigma xy um	RMSE	SNR	Voxel size	Voxel size arr	Voxel size x	Voxel size y	Voxel size z	detect	iterations	kind	low	noise type	normalize	perform	phi	regularization_lambda	size_x	size_y	size_z	terminate	theta	wiener	x	y	z
0	8.0	True	iterative_deconvolve_3d	0.17207028317429315	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_008.tif	4.0	1.4	43.87792220944476	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	4.778818043149499		18.81942228178236	10.701912626950056	12.138512372733814	0.1	1.8318142348385087	0.1	0.4924446805047536	0.3070872840797002	0.3202655239338229
1	9.0	True	iterative_deconvolve_3d	0.16210447640198547	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_009.tif	4.0	1.4	41.3366414825063	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	4.676820107972867		17.459038989115857	12.091641284950152	9.53243081421854	0.1	0.6878748875747998	0.1	0.5691728455584631	0.5035483956489484	0.93921600191189
2	2.0	True	iterative_deconvolve_3d	0.16247920454308878	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_002.tif	4.0	1.4	41.43219715848764	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	2.2753762464574434		15.873984530497337	8.576436273860484	15.29570772365	0.1	1.9235756607354568	0.1	0.09673775309941944	0.02222574151901624	0.6899752432145388
3	3.0	True	iterative_deconvolve_3d	0.20736331231751728	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_003.tif	4.0	1.4	52.8776446409669	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	1.3233356332178108		17.480458813200126	12.056731157391589	14.249562259828878	0.1	1.611464814708603	0.1	0.8467755076891259	0.01318231121585356	0.924881912456328
4	1.0	True	iterative_deconvolve_3d	0.14092901771960872	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_001.tif	4.0	1.4	35.936899518500226	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	1.2515207896658702		15.464501890385135	20.934920744821888	16.30766639957851	0.1	1.7816058450772074	0.1	0.8003106987699796	0.19193883901910147	0.8750464696928454
5	0.0	True	iterative_deconvolve_3d	0.1184180023504866	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_000.tif	4.0	1.4	30.19659059937408	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	3.827351340774592		16.609938891182033	20.644648964056067	13.984606378154359	0.1	0.5274173379278148	0.1	0.10926434496821312	0.9582338449096685	0.5216026374828314
6	4.0	True	iterative_deconvolve_3d	0.1654819954405797	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_004.tif	4.0	1.4	42.197908837347825	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	4.82902679978006		19.20690319285014	16.23344970163426	16.985678954237518	0.1	2.347986817064954	0.1	0.48673672623898	0.6281414938827838	0.3859249295006237
7	5.0	True	iterative_deconvolve_3d	0.1336979201092542	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_005.tif	4.0	1.4	34.092969627859816	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	2.103778265755292		13.345931239600425	11.94592887091793	15.904295670578744	0.1	0.8332235464671278	0.1	0.5290871096431607	0.1937883595148812	0.6425461970204945
8	7.0	True	iterative_deconvolve_3d	0.1407804914644931	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_007.tif	4.0	1.4	35.89902532344574	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	0.3687280830968192		16.899595540320167	11.008707312453856	19.42888130704794	0.1	0.15404438743951115	0.1	0.2239116816521908	0.2586157739738294	0.7629181850562878
9	6.0	True	iterative_deconvolve_3d	0.1010715565123578	iterative_deconvolve_3d_detect=False_low=6.0_normalize=True_perform=True_terminate=0.1_wiener=0.1/psf_sigma_1.4_aspect_ratio_4.0_voxel_size_[3._0.45_0.45]_noise_poisson_snr=2.0/cell_006.tif	4.0	1.4	25.773246910651235	2.0	[3.   0.45 0.45]	[3.   0.45 0.45]	0.45	0.45	3.0	False		ellipsoid	6.0	poisson	True	True	2.2103370394589947		14.284761006190267	22.0992309141642	14.454697787871606	0.1	2.5706308090682293	0.1	0.3881034080955973	0.3208512084781843	0.8246183465629149
